Vendor,Model,Major,Minor,Build,Hotfix
Palo Alto Networks,PA-220,10,2,16,6
Palo Alto Networks,PA-440,11,1,13,3
Palo Alto Networks,PA-450,11,1,13,3
Palo Alto Networks,PA-460,11,1,13,3
Palo Alto Networks,PA-520,12,1,4,3
Palo Alto Networks,PA-820,11,1,13,3
Palo Alto Networks,PA-1410,11,1,13,3
Palo Alto Networks,PA-1420,11,1,13,3
Palo Alto Networks,PA-3220,11,1,13,3
Palo Alto Networks,PA-VM,11,2,10,3
Palo Alto Networks,PA-3020,NONE,,,
SonicWall,NSA 3700,7,3,2,7010
SonicWall,TZ 470,7,3,2,7010
SonicWall,TZ 670,7,3,2,7010
SonicWall,TZ 300,NONE,,,
